rank,categoryRank,brandNameJapanese,website,absoluteGrowthRate,compoundAnnualGrowthRate,Revenue2020,foundingYear,prefecture
98,5,Legaseed Inc.,https://www.legaseed.co.jp/,143.8%,34.6%,731709115 ,2013,東京都
99,9,ウォンテッドリー株式会社,https://wantedlyinc.com/ja,139.9%,33.9%,3094524000 ,2010,東京都
100,20,株式会社カラダノート,https://corp.karadanote.jp/,139.3%,33.8%,732883000 ,2008,東京都
101,2,株式会社シグナストラスト,http://cygnus-trust.com/,137.4%,33.4%,1852083710 ,2011,東京都
102,1,株式会社ビジョン・コンサルティング,https://visioncon.co.jp/,132.0%,32.4%,3776207419 ,2014,東京都
103,3,株式会社金沢実業,https://www.kanazawajitsugyou.com/,130.6%,32.1%,326748777 ,2006,大阪府
104,17,株式会社豊港,https://toyokou.co.jp,126.8%,31.4%,1108293190 ,2015,東京都
105,21,株式会社ハイレゾ,https://highreso.jp/,122.5%,30.5%,724795547 ,2007,東京都
106,12,ドクターキューブ株式会社,http://www.doctorqube.com,121.1%,30.3%,1548461277 ,2001,大阪府
107,3,株式会社DONUTS,https://www.donuts.ne.jp/,120.7%,30.2%,13438577460 ,2007,東京都
108,1,トリプラ,https://tripla.io/,120.6%,30.2%,295135000 ,2015,東京都
109,4,株式会社ブルーマークコンフィデンス,https://www.bm-c.co.jp,117.1%,29.5%,605260825 ,2015,東京都
110,4,ドコドア株式会社,http://docodoor.co.jp,115.0%,29.1%,171845201 ,2011,新潟県
111,2,Crowd Bank,https://crowdbank.jp,114.7%,29.0%,2200748486 ,2014,東京都
112,1,株式会社ファイバーゲート,https://www.fibergate.co.jp,113.5%,28.8%,8491521906 ,2000,北海道
113,10,株式会社フレクト,https://www.flect.co.jp,107.7%,27.6%,2559000000 ,2005,東京都
114,4,"TransACT Co.,Ltd.",https://transact.co.jp/,105.4%,27.1%,355300401 ,2013,東京都
115,3,ロードスターキャピタル株式会社,https://loadstarcapital.com,93.1%,24.5%,16979000000 ,2012,東京都
116,5,エクストリーム,https://www.e-xtreme.co.jp,91.0%,24.1%,6230000000 ,2005,東京都
117,2,自然電力株式会社,https://www.shizenenergy.net/,89.2%,23.7%,5360486016 ,2011,福岡県
118,3,メディバンクス株式会社,http://medi-banx.com,87.1%,23.2%,244857854 ,2010,東京都
119,4,株式会社トップリフォーム,https://topreform.jp,85.0%,22.8%,493759045 ,2015,東京都
120,13,株式会社シェア１８０,http://www.sharehouse180.net/,83.1%,22.3%,299858651 ,2014,愛知県
