T_Key,label,attribute,sex,x,y,cluster
1800,赤星憲広,スポーツ解説者,M,30.2,65.4,NEXTブレイク
1838,東貴博（TAKE２）,お笑いタレント,M,62.1,51.7,該当なし
1839,中村光宏,キャスター,M,18.2,62.5,該当なし
1841,伊藤利尋,キャスター,M,33.8,64.5,該当なし
1842,高畑充希,俳優,F,78.3,72.4,今旬
1843,軽部真一,キャスター,M,62.7,54.5,注目
1849,ミッツ・マングローブ,タレント,M,82.5,57.3,今旬
1852,柄本佑,俳優,M,59.5,72.2,
1853,Kis-My-Ft2,歌手・ミュージシャン,M,53.6,76.6,注目
1857,生野陽子,キャスター,F,41.6,66.4,注目
1858,大江麻理子,キャスター,F,39.9,80.6,該当なし
1859,加藤綾子,キャスター,F,64.7,62.9,注目
1860,堂真理子,キャスター,F,24.7,68.4,NEXTブレイク
1862,髙橋大輔,著名人,M,73,67.2,今旬
1867,EXILE ATSUSHI,歌手・ミュージシャン,M,65.9,62.3,注目
1873,EXILE TAKAHIRO,歌手・ミュージシャン,M,59.7,57.4,注目
1874,EXILE MAKIDAI,歌手・ミュージシャン,M,50.7,54.8,注目
1877,杉山愛,著名人,F,60.2,64.4,注目
1879,斎藤工,俳優,M,74.9,75.1,今旬
1880,長谷川博己,俳優,M,63.5,74.4,今旬
1881,綾野剛,俳優,M,80.2,76.3,今旬
1882,ユージ,タレント,M,52.5,49.2,注目
1883,鈴木保奈美,俳優,F,65.9,63.4,注目
1890,指原莉乃,タレント,F,84.9,64.8,今旬
1903,NMB48,歌手・ミュージシャン,F,20.1,69.2,NEXTブレイク
1904,ももいろクローバーZ,歌手・ミュージシャン,F,63.5,64.7,注目
1908,松井玲奈,俳優,F,52,63.5,注目
1909,桝太一,キャスター,M,71.5,71.3,今旬
1911,大木優紀,キャスター,F,12.6,77,NEXTブレイク
1916,村上佳菜子,現役スポーツ選手,F,61.8,62.2,今旬
1919,橋本愛,俳優,F,48.7,69,注目
1920,池松壮亮,俳優,M,37.6,72.2,NEXTブレイク
1921,賀来賢人,俳優,M,74.4,80.8,今旬
1922,窪田正孝,俳優,M,69.5,75.4,今旬
1923,永山絢斗,俳優,M,37.2,75.1,注目
1925,中島健人（Sexy Zone）,俳優,M,62.3,77.1,注目
1928,福士蒼汰,俳優,M,74.1,74.8,今旬
1934,小島瑠璃子,タレント,F,74,52.8,大御所＆安定
1943,椿鬼奴,お笑いタレント,F,79.7,62.6,大御所＆安定
1944,平成ノブシコブシ,お笑いタレント,M,69.3,69.7,今旬
1945,フットボールアワー,お笑いタレント,M,71.8,67.2,今旬
1947,又吉直樹（ピース）,お笑いタレント,M,82.8,67.1,今旬
1948,岩尾望（フットボールアワー）,お笑いタレント,M,71.7,58,大御所＆安定
1949,後藤輝基（フットボールアワー）,お笑いタレント,M,77.5,67.7,今旬
1954,平石直之,キャスター,M,8,79.5,NEXTブレイク
